,DATE,CIVPART,CPIAUCSL,FEDFUNDS,GDPC1,IPMAN,UNRATE,M2V,W823RC1
74,1990-07-01,66.46666666666667,131.53333333333333,8.16,10090.569,59.22563333333333,5.7,1.856,244.73333333333332
75,1990-10-01,66.4,133.76666666666665,7.743333333333333,9998.704,58.226033333333326,6.133333333333333,1.839,247.0
76,1991-01-01,66.23333333333333,134.76666666666665,6.426666666666667,9951.916,56.90286666666666,6.6,1.826,261.3
77,1991-04-01,66.26666666666667,135.56666666666666,5.863333333333332,10029.51,57.20363333333333,6.833333333333333,1.833,263.66666666666663
78,1991-07-01,66.1,136.6,5.643333333333333,10080.195,58.2773,6.866666666666666,1.85,265.06666666666666
79,1991-10-01,66.06666666666666,137.73333333333332,4.816666666666666,10115.329,58.519,7.1,1.861,266.8333333333333
80,1992-01-01,66.3,138.66666666666666,4.0233333333333325,10236.435,58.66056666666666,7.366666666666665,1.874,278.56666666666666
81,1992-04-01,66.6,139.73333333333332,3.77,10347.429,59.91003333333333,7.6,1.905,281.7333333333333
82,1992-07-01,66.6,140.8,3.256666666666667,10449.673,60.57366666666666,7.633333333333333,1.931,282.8333333333333
83,1992-10-01,66.26666666666667,142.03333333333333,3.0366666666666666,10558.648,61.07426666666667,7.366666666666665,1.951,283.93333333333334
84,1993-01-01,66.2,143.06666666666666,3.04,10576.275,61.74723333333333,7.133333333333333,1.971,295.56666666666666
85,1993-04-01,66.33333333333333,144.1,3.0,10637.847,61.96493333333333,7.066666666666666,1.985,297.06666666666666
86,1993-07-01,66.33333333333333,144.76666666666665,3.06,10688.606,62.12436666666667,6.8,1.997,298.56666666666666
87,1993-10-01,66.33333333333333,145.96666666666667,2.99,10833.987,63.27446666666666,6.633333333333333,2.023,300.56666666666666
88,1994-01-01,66.56666666666666,146.7,3.2133333333333334,10939.116,64.0829,6.566666666666666,2.047,308.8333333333333
89,1994-04-01,66.5,147.53333333333333,3.94,11087.361,65.6432,6.2,2.08,311.76666666666665
90,1994-07-01,66.53333333333333,148.9,4.486666666666666,11152.176,66.68533333333333,6.0,2.103,312.96666666666664
91,1994-10-01,66.7,149.76666666666665,5.166666666666666,11279.932,68.351,5.633333333333333,2.139,315.1
